"Year","No","Title","Artist","trackid","spotifyartist","Acousticness"
1974,"93","""Wildwood Weed""","Jim Stafford","2XqB7lzRMX6EFWY8HD4nZl","Jim Stafford",0.705
1974,"94","""Beach Baby""","The First Class","5noiTc8RKwuWoSCH04rkdq","Various Artists",0.00165
1974,"95","""Me and Baby Brother""","War","0Zqe77qWdraPStbSINMXBE","War",0.185
1974,"96","""Rockin' Roll Baby""","The Stylistics","3QgsPdDBXZKrpa2iQndFnZ","The Stylistics",0.849
1974,"97","""I Honestly Love You""","Olivia Newton-John",NA,NA,NA
1974,"98","""Call on Me""","Chicago","5BCPL5mWm6UqI4atl18kVm","Chicago",0.156
1974,"99","""Wild Thing""","Fancy","2xFv9Znfm7KeEQbC8ZBxNI","Fancy",0.112
1974,"100","""Mighty Love""","The Spinners","7DCav3rL0B3A5Lp7CXcatN","The Spinners",0.585
1975,"1","""Love Will Keep Us Together""","Captain & Tennille","1f4iVGDitHYMVBaoc9GXO2","Captain & Tennille",0.329
1975,"2","""Rhinestone Cowboy""","Glen Campbell","0VwTeYNjcl30DyQlt3GPe0","Glen Campbell",0.0988
1975,"3","""Philadelphia Freedom""","Elton John","3KFSoXU5dom16qdvKEAMsx","Elton John",0.0255
1975,"4","""Before the Next Teardrop Falls""","Freddy Fender","3awuorsQsio2PUOvzq3hpd","Freddy Fender",0.748
1975,"5","""My Eyes Adored You""","Frankie Valli","2cqVnbTiYgdun186IbDRwm","Frankie Valli & The Four Seasons",0.272
1975,"6","""Shining Star""","Earth, Wind & Fire","0RgcOUQg4qYAEt9RIdf3oB","Earth, Wind & Fire",0.668
1975,"7","""Fame""","David Bowie","4r8cI0SCP8c0juGDEMreEW","David Bowie",0.271
1975,"8","""Laughter in the Rain""","Neil Sedaka","2ozTcQyZQmm9tSmc4VZfwU","Neil Sedaka",0.358
1975,"9","""One of These Nights""","Eagles","608xszaAxVh4m7NcKJiAbF","Eagles",0.0603
1975,"10","""Thank God I'm a Country Boy""","John Denver","1GppOc3LMBYanYagzCQCci","John Denver",0.859
1975,"11","""Jive Talkin'""","Bee Gees","4t0Pj3iBnSCZv5pDEPNmzG","Bee Gees",0.174
1975,"12","""Best of My Love""","Eagles","6x8C7SBqQukeaeh9etWdZY","Eagles",0.717
1975,"13","""Lovin' You""","Minnie Riperton","4twhYPDyCP6ICeW3TtQVxP","Minnie Riperton",0.903
1975,"14","""Kung Fu Fighting""","Carl Douglas","40NRm1ZLvZpUSCUXAGGZ8J","Carl Douglas",0.0422
1975,"15","""Black Water""","The Doobie Brothers","3x1v32I3SZNvC7q7bDhcGm","The Doobie Brothers",0.334
1975,"16","""The Ballroom Blitz""","Sweet","3Pu3IChaAoa5EjgUBv5F6x","Sweet",0.0821
1975,"17","""(Hey Won't You Play) Another Somebody Done Somebody Wrong Song""","B.J. Thomas","4cGujlCrKqkpAMFetoFMSE","B.J. Thomas",0.624
1975,"18","""He Don't Love You (Like I Love You)""","Tony Orlando and Dawn","0XaaoZUWQFzcFiQbXKhABU","Tony Orlando & Dawn",0.287
1975,"19","""At Seventeen""","Janis Ian","3bRcSxW2FnSSwrzoYT1knV","Janis Ian",0.888
1975,"20","""Pick Up the Pieces""","Average White Band","2x1LQq8lsUzAA2wNj8yjC9","Average White Band",0.0548
1975,"21","""The Hustle""","Van McCoy & the Soul City Symphony","6PDt0qVI9rUGrvhrJqGXK9","Various Artists",0.135
